iter	RMSE
855	54658.80612
856	54592.73341
857	54552.23333
858	54476.66358
859	54408.00858
860	54340.4837
861	54270.99129
862	54230.76791
863	54200.3175
864	54165.62194
865	54094.34133
866	54020.28397
867	53967.36205
868	53932.68933
869	53871.57672
870	53839.44993
871	53837.37251
872	53794.61924
873	53754.86558
874	53705.71127
875	53663.77202
876	53610.15434
877	53566.03245
878	53513.65213
879	53490.098
880	53438.51031
881	53380.09655
882	53352.58885
883	53307.38395
884	53257.36917
885	53187.27799
886	53135.2817
887	53133.04827
888	53074.79271
889	53006.94608
890	53004.98313
891	53003.11307
892	52930.36557
893	52879.77462
894	52826.43638
895	52770.77719
896	52700.25467
897	52635.27195
898	52600.18715
899	52552.4279
900	52510.3163
901	52476.66573
902	52413.47675
903	52351.40987
904	52296.50176
905	52294.76607
906	52263.97168
907	52192.48801
908	52154.59234
909	52049.23192
910	52003.98678
911	51946.85719
912	51910.32179
913	51877.981
914	51854.2043
915	51811.46214
916	51767.28032
917	51709.46009
918	51651.91227
919	51572.01083
920	51528.39696
921	51462.13505
922	51392.73496
923	51391.24792
924	51341.05632
925	51292.69427
926	51291.08512
927	51241.73481
928	51209.78433
929	51181.54255
930	51141.35061
931	51091.92098
932	51090.18135
933	51038.2327
934	51036.00489
935	50976.94906
936	50941.94794
937	50899.70907
938	50840.62714
939	50745.92983
940	50687.93823
941	50624.7933
942	50569.99975
943	50523.043
944	50457.26787
945	50455.82359
946	50380.02345
947	50318.99779
948	50266.47531
949	50264.89934
950	50230.1164
951	50168.49015
952	50166.97724
953	50091.37489
954	50008.51896
955	49969.8874
956	49943.77259
957	49914.68374
958	49884.34047
959	49797.41614
960	49771.34496
961	49720.27041
962	49682.3583
963	49659.61397
964	49613.14237
965	49567.12114
966	49516.57799
967	49475.81705
968	49414.75794
969	49376.40993
970	49340.99733
971	49247.8929
972	49178.61885
973	49159.31283
974	49121.02926
975	49066.09792
976	49037.14093
977	48964.13864
978	48944.56184
979	48942.69667
980	48889.64117
981	48837.59276
982	48786.53807
983	48728.56046
984	48695.13099
985	48665.13419
986	48663.72547
987	48618.89056
988	48579.41497
989	48522.3411
990	48520.6847
991	48483.71503
992	48400.24788
993	48375.29998
994	48323.60476
995	48265.26151
996	48216.72329
997	48170.98037
998	48117.94154
999	48064.69815
